[0:50:12] ソルティー_: でたw
[0:50:12] tokino8044: wwwww
[0:50:13] texcoawg1309: こわいこわいｗｗｗ
[0:50:14] ペチペチ教: wwwww
[0:50:21] ichisanniiroku: さすじぇいくｗ
[0:50:26] twmonitor: 怖いえｗ
[0:50:29] texcoawg1309: おｗ
[0:50:29] ペチペチ教: 葉乗り移ってるだろｗ
[0:50:31] lsdlsd5: 戦闘強いだけのポン
[0:50:32] ナマコ魚雷: お
[0:50:33] sabachann123456: おお
[0:50:37] 海猫だおーん: お
[0:50:37] とろとろぴく: 張本人来たァ
[0:50:41] 千葉遼: こんばんは。楽しんで👍 Cheer1000
[0:50:44] しぇぱ3: きたねぇ
[0:50:46] ふでかげ: メイン来た！これでかつる！！
[0:50:58] mnmaktbs511: 火種きたww
[0:51:01] フンバルト_ヘーデル: 葉心配だえ
[0:51:28] ふでかげ: 白市民への個社者怖いえ
[0:51:33] texcoawg1309: ｗｗｗ
[0:51:56] shuya23356: 葉楽しんでこー
[0:52:08] himiku04: 初見です
[0:52:31] atsumori_pop: いったれ葉3兆発ゥ！
[0:52:33] 海猫だおーん: ぽっぽー
[0:52:50] しぇぱ3: w
[0:52:51] 半熟めんま: あ
[0:52:52] zenith_ar: w
[0:52:53] texcoawg1309: ｗｗｗｗｗｗｗｗ
[0:52:54] itoriyo: ｗｗｗｗ
[0:52:58] かぷちーのさん: w
[0:52:58] 海猫だおーん: wwww
[0:52:59] ペチペチ教: ww
[0:53:05] nayonayo114514: ｗｗｗ
[0:53:07] フンバルト_ヘーデル: 脱ぎなさい
[0:53:07] ふでかげ: ｗｗｗｗ
[0:53:12] shuya23356: ぶっ込んだ笑
[0:53:12] zenith_ar: 脱ぎなさいww
[0:53:16] ふでかげ: 脱ぎなさいｗｗｗｗ
[0:54:13] atsumori_pop: ほーう
[0:55:02] zlep__: 葉チャルロスあつ！
[0:55:07] ふでかげ: みんな二人組を作ってください
[0:55:09] si0083: つーか
[0:55:15] zlep__: あまらないか？
[0:56:54] 半熟めんま: www
[0:57:03] user_001fin: 心配せんでもww
[0:57:03] ペチペチ教: DinoDance DinoDance DinoDance
[0:57:06] sabachann123456: ww
[0:57:07] ナマコ魚雷: 大丈夫か？w
[0:57:07] si0083: ｗｗ
[0:57:09] さくら_0121: 服、黒くしなくて大丈夫？
[0:57:12] 半熟めんま: 心配しかないんよwww
[0:57:17] ruin0077: 拒否権無しかw
[0:57:20] ぺこやまぺこじろう: arikenSyazai_SG
[0:57:35] myon07: 初めて同士で大丈夫かw
[0:57:58] si0083: 戦利品くらいか
[0:57:59] レヴィ99: 葉市民やりそう
