[0:05:31] g7754hg46ise: สวัสดีครับ
[0:05:32] bamm_bi: สวัสดีน้าบบ
[0:05:32] beam_050: ดีค้าบบบ
[0:05:33] anantasit_: FBPass FBBlock
[0:05:35] oak161: @purple_moon_iusupczz ดีค้าบี่ปาย
[0:05:35] chaoolong: ดีค้าบบ jackey9JackeyDja jackey9JackeyDja
[0:05:36] nateeauthai: แข่งเสร็จกี่ทุ่มค้าบลุง
[0:05:36] thanawat_99: สวัสดีน้าบบบจุนลุง
[0:05:37] dagoma555: ดีค๊าบบบ
[0:05:37] arm_nah: แต่ยังบ่ได้เต็มเน็ต
[0:05:38] baconcorncheese: สวัสดีฮับ
[0:05:39] phayut55: ดีน้าบบบ
[0:05:40] lukarm447: ดีน้าบบบ
[0:05:40] teephakorn33: สวัสดีครับพี่เอส
[0:05:41] jirayu290364: หวัดดีคับลุง
[0:05:41] boonaon2003: PansexualPride rebirthzt rebirthztvN BisexualPride PansexualPride rebirthztv10
[0:05:41] boyezgamer: สวัสดีครับพี่เอส
[0:05:42] godryoma: ดีครับ
[0:05:42] anan_kill: Overrr
[0:05:43] feung9x: d kubbbb
[0:05:43] jofa7x3: ลุงบริษัทเสร็จยังครับ
[0:05:43] pipo3350: ดีครับ
[0:05:43] ohm_154: ดีค้าบบ
[0:05:44] color_1333: สวัสดีครับ
[0:05:44] ashita5245: O V E R
[0:05:44] nutseno: ดีค้าบบ
[0:05:46] artbuson: ดีครับ
[0:05:46] purple_moon_iusupczz: @beerco2 สวัสดีจ้าเบียร์ jackey9Mnheart
[0:05:46] duangmani_ii: ลุง สวัสดีค้าบบบบ
[0:05:47] siwapat_9: ดีครับลุง
[0:05:47] hi03182: สู้ๆๆ
[0:05:49] peerapatparsat03: ดีค้าบบ
[0:05:49] thatphol: สวัสดีครับลึง
[0:05:52] arm_nah: เทคนิกjakสุ้ไม่สุ้
[0:05:52] PDNoumoimzx: อะเยิฟฟฟฟฟฟฟฟ
[0:05:52] ZCyclops_: สวัสดีครับพี่เอส
[0:05:54] saende446: ดีครับลุง
[0:05:55] yeegod8936: SeemsGood SeemsGood
[0:05:55] nongnee786: ดีค่ะ
[0:05:56] weerakhai: สวัสดีครับ
[0:05:57] tikok_pong_monter: ดีค้าบบ
[0:05:58] pemsak123: ดีคับ
[0:05:59] tsks_zz: ดีค้าบ
[0:05:59] purple_moon_iusupczz: @oak161 ดีจ้า kokinSleep
[0:05:59] paniaramaiket: ดีครับ
[0:05:59] kritsana_nay: วันที่2ที่ไม่เกิน21:00
[0:05:59] TwinshockEz: ดีค้าบพี่เอสสสส
[0:06:01] pupurinat549: rebirthztvOmg
[0:06:01] gapninja: rebirthztvJak rebirthztvJak rebirthztvJak
[0:06:01] kaoja_o: สวัสดีงับคุณลุง rebirthztvLove
[0:06:01] kindihic: สวัสดีครับ
[0:06:02] OLDMAN18YEAR: ดีค้าบลุง
