[0:04:57] painxgn24: ดีครับลุง
[0:05:02] 19bank: แหม้พอเรื่อง ไอ้บอล ไม่มาดู
[0:05:04] NATTAWUTAoMo0za: NATTAWUTAoMo0za subscribed at Tier 1. They've subscribed for 8 months! 8 เดือนแล้ว jackey9JackeyDja jackey9JackeyDja
[0:05:05] by_wen: มึงเอาลงด้วยนะไอ้เต็ง
[0:05:05] ploychompoo_t: ใจเย็นๆกันนะ
[0:05:07] kenshinxz: เรียกโหนกระดิมาดิ
[0:05:07] radama458: GlitchCat
[0:05:07] kaijeawmookob: ไอ้เต็งมันกลัวไอ้บอล
[0:05:08] Earth_Allain: มีไรกันอ่ะพึ่งมา
[0:05:08] pooomjak: FCค้าบลุง ชอบดูลุงมากกค้าบ
[0:05:08] kobnoi_24: ใจเย็นๆครับแชท ค่อยๆฟังก่อน
[0:05:08] Nongnee_786: สวัสดีค่ะคุณลุง
[0:05:08] Esterr012: ดีครับ
[0:05:08] nattanoneuro: ไม่จริง
[0:05:09] FVCKPOR5555: คนดีชอบแก้ไขคนอะไรชอบแก้ตัว
[0:05:11] achira_2006: @ovel2dose ใจเย็นพี่ดาบ5555555
[0:05:13] xp___px: พวกมันตัดมาให้เราทะเลาะกับทักลี่
[0:05:14] makabjub: โหนข่าวเมืองแฟม
[0:05:14] thitikarn10: เรื่องบอลไม่เอามาลงบ้างอะน้อง55555
[0:05:16] YesDuck_: ไฟเขียวบ้างไหม
[0:05:17] golfool: ให้ไอ้คนที่พิมด่ามาดูมาฟังมา จะได้ตาสว่างพวกDMเรื้อน
[0:05:28] hyuki3: เต็งไม่ดูหรอก  เต็งมันไม่เคยตรง แต่มันเป็นสื่อนะ
[0:05:28] 1_chowder: แชทใจล่มๆ
[0:05:29] phantomikiz: ทำไม ลุงมาไว
[0:05:32] fasdytmll: ดราม่าไรกันอีกครับตามไม่ทันละ
[0:05:33] JNYSXX: อะมาๆ มาแหกตาเปิดหูกันเร็วว พวกไม่รู้ว่าตัวเองเป็นสลิ่ม
[0:05:33] kivd123123: เต็งมันดูอยู่แล้ว ยิ่งเป็นเรื่องพวกเรามันยิ่งเร็วเลยอ่ะ
[0:05:36] dexterx66: ทุกคนไม่ต้องรำคับเดียวลุงจัดการเองครับบ
[0:05:36] rachanon3: โหนหน่อยอร่อยดี โหนทุกวัน
[0:05:39] weerawatkub_: เเชทรันไปครับ
[0:05:40] blackumna: สู้ๆครับ
[0:05:41] fluke_supawat: ใครโปรครับบอกหน่อย
[0:05:47] ROSAE96: ไอ้เต็งมาดู
[0:05:48] kobnoi_24: เรื่องโปร
[0:05:50] ploychompoo_t: ใจเย็นๆๆๆๆๆกันนะ><
[0:05:50] alex1ndeq: 1419
[0:05:50] akarapon_o: ไอเหี้ยบอลทรงแม่งเยอะ
[0:05:51] chocomuchopsm: ไอ้เต่งมึงตัดลงด้วยนะเหรียญมี 2 ด้าน แล้วบอกว่าเรื่องความถูกต้องจะรอดูว่าตัดไหม
[0:05:53] exworawat1596: 1412 เขาว่าวั้นครัย
[0:05:53] KimSeokKay: KimSeokKay subscribed at Tier 1. They've subscribed for 25 months! 
[0:05:55] 19bank: โหน DMH
[0:05:58] sadddd65: อย่าไปว่าเขาครับ
[0:05:58] ck9rider: แล้วใครใช้โปรหรอ
[0:06:03] graphicinfull: ใคร
[0:06:03] kaijeawmookob: 1412
[0:06:04] Gu_GuidE: ดีครับลุงงง
