[0:02:48] pleum_54: rebirthztvLove
[0:02:49] EMWILD_: jackey9Huphup jackey9Huphup jackey9Huphup
[0:02:49] kanpichacha: ดีค้าบบบบ
[0:02:49] OvEl2DoSe: @nxeyy__ ดีคับผมมมม
[0:02:49] kayang_blackwolf: SingsMic SingsMic SingsMic
[0:02:51] bank1322224: @purple_moon_iusupczz ดีคับพี่ซุป
[0:02:51] james_6699: ดีค้าบ
[0:02:51] SUPACHAIMANEEKAN: @purple_moon_iusupczz ดีค้าบพี่ชาย
[0:02:52] purple_moon_iusupczz: gumtvxLuv
[0:02:53] champ032549: rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:02:54] Earth9kTV: rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:02:55] pukkhab_1896: ดีค้าบลุง
[0:02:55] diwww57: ดีคับ
[0:02:57] marexntk: คุณลุงงงง
[0:02:57] OvEl2DoSe: @purple_moon_iusupczz โย่วววว
[0:02:57] EarThzxcvv159: ดีค้าบ
[0:02:57] yggdrass_19: ดีค้าบลุงงงงงง
[0:02:58] phatsakon_1: ดีค้าบลุง
[0:02:58] 666_Miky_66: thonkCry thonkCry thonkCry
[0:02:58] ohm_thanawat01: พักผ่อนบ้างนะพี่เดี๋ยวสุขภาพแย่เป็นห่วงคร้าบ
[0:02:58] Dawin_0L: ดีค้าบบบบบ
[0:02:58] anxchxx: เพลงไรครับแชท
[0:02:58] 6ixzack: ดีครับ
[0:02:58] benz01042547: @purple_moon_iusupczz ดีครับพี่
[0:02:58] johnweeraphat77: ผมนอนจนตื่นไปฝึกงานลุงก็ยังสตรีมอยู่555
[0:02:59] purple_moon_iusupczz: @bank1322224 ดีจ้าแบงค์
[0:02:59] sugarr444: ดีครับ genostyleKiminoto
[0:03:00] kendo_48: PogChamp SingsMic
[0:03:01] EfHaanibal: สวัสดีครับลุง
[0:03:02] phetfkj99: สวัสดีครับพี่
[0:03:02] ochikrup: สวัดดีครับพี่เอสrebirthztvB
[0:03:03] ben_jersey: SingsMic SingsMic SingsMic
[0:03:03] phakbungphanyo: SingsMic SingsMic SingsMic
[0:03:03] thanawat_mix: วัดดีค้าบบบบบบบบ
[0:03:04] lovepouu123: @purple_moon_iusupczz ,ดีน๊าบ
[0:03:05] purple_moon_iusupczz: @supachaimaneekan ดีน้าบ
[0:03:05] chaoolong: ลุงดีค้าบบบ jackey9Heartkub
[0:03:05] boonyarittanomjit: ดีครับ
[0:03:06] sorryprettyboii: เสียไม่ได้ TriHard
[0:03:07] ger42000: เอาให้กรีดดคับหัวเรือ
[0:03:07] run_77777: ดีครับพี่เอส
[0:03:08] chirawut_: smd
[0:03:08] maprangfxpro: @purple_moon_iusupczz ดีฮะพี่ซุป
[0:03:11] UcancallmeBxbe: สวัสดีงับคุณลุงงง
[0:03:11] purple_moon_iusupczz: @ovel2dose โย้วว
[0:03:12] supanat_fiw: ดีครัชผม
[0:03:13] hunter_nakata: ดีฮะ
[0:03:13] ATMOSXZ_: สวัสดีครับพี่ซุป @purple_moon_iusupczz <3
[0:03:14] ilucusx_: ดีค้าบพี่ดาบทุกๆคน
[0:03:14] NornightX: เอิ๊บๆๆ
[0:03:15] blackhht: EarthTiSe subscribed at Tier 1. They've subscribed for 4 months, currently on a 1 month streak! สวัสดีค้าบลุง วันนี้เอาสุดนะคับ
[0:03:16] edghdvnhc: ดีครับ
[0:03:17] mjangrai1: rebirthztvAngelTew rebirthztvAngelTew
[0:03:17] Lorixpp: Dkub
[0:03:17] Ghost0team: ดีครับพี่เอส
[0:03:18] title______: ดีครับ
[0:03:19] purple_moon_iusupczz: @benz01042547 ดีจ้า gumtvxLuv
[0:03:21] cooperx159: ดีน้าบลุงงงง🙏🏻
[0:03:21] pichitchai223: SingsMic SingsMic SingsMic
[0:03:22] dikkayy: !uptime
[0:03:22] Nightbot: Stream uptime 3 minutes, 28 seconds
[0:03:22] BALL_mmm: ดีก๊าปๆ
[0:03:23] thanathat_bangtuo: @purple_moon_iusupczz สวัสดีครับพี่ซุปป
[0:03:24] ga_nathaniel: ดีครับพี่เอส
[0:03:24] Lapiis1: @purple_moon_iusupczz jackey9Heartkub jackey9Heartkub
[0:03:25] Ghost0team: ดีครับทุกคน rebirthztvLove
[0:03:25] TeLETuBBiESx: hi
[0:03:27] pleum_54: rebirthztvLove rebirthztvLove rebirthztvLove
[0:03:27] asiath330: ดีครับบบบ
[0:03:30] wangonsiri: ดีครับพี่เอส
[0:03:30] matha_non: สวัสดีครับลุง
[0:03:31] worawit_00: ดีครับลุง
[0:03:31] auto_2005: แล้วลุงกูไม่พัก
[0:03:32] deepst44: ดีค้าบ
[0:03:32] film3266: ดีค้าบลุงงง
[0:03:33] sunday_911: ดีครับ
[0:03:33] anas_ut: @purple_moon_iusupczz ดีค้าบพี่ซุป
[0:03:35] lucus2206: ดีค้าบบบบ
[0:03:35] Dream1P: ดีครับ
[0:03:35] frame_366: ดีค้าบลุงงง
[0:03:35] nxeyy__: @purple_moon_iusupczz ดีค่าาา rebirthztvLove rebirthztvPlease
[0:03:36] 0789342: สวัสดีครับพี่เอส
[0:03:37] thiw_442: ดีค้าบบ
[0:03:37] xzskdl_tlto: ดีงับ
[0:03:38] fxrnnx: jackey9JackeyDja jackey9JackeyDja
[0:03:38] d_longx2: jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja
[0:03:38] BeerCo2: สวัสดีครับพี่เอส rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:03:39] PANUSAKBEER07: rebirthztvMc rebirthztvMc
[0:03:39] purple_moon_iusupczz: @lovepouu123 ดีฮ่ะ
