[0:41:40] tetsuchito: wwww
[0:41:44] gundora23: あｗ
[0:41:45] もずくみこみこ: www
[0:42:48] hachiko0000: 来週楽しみだえ
[0:42:54] もずくみこみこ: 歪みはめんどいねぇ
[0:42:58] ichisanniiroku: あれは仕方がないらしいえ・・・
[0:42:58] gundora23: 急ぎすぎるとなっちゃうね
[0:43:06] gundora23: ほんとよねぇ
[0:43:11] すぱ: 今回はマジで運が悪かったね
[0:43:17] waka919: 現場での読み込み
[0:43:19] zlep__: 急すぎたなた
[0:43:23] もずくみこみこ: 船のデータ量もエグいからなぁ
[0:43:23] hiyokomanjuuuuu: サーバー具合によるからなんとも。
[0:43:55] zenith_ar: しゃあないえ
[0:44:03] Kaminagi_TKP: 一応湧くのは受注者が船に近づいたらだけど、ワンチャンその説はありそう
[0:44:06] hachiko0000: 運が悪かったえ
[0:44:08] もずくみこみこ: 歪みはしゃあなしだぇ
[0:44:15] nonono090: チャルロスこんばんだえ
[0:44:32] tricluster: 心無き増えてから歪みやすいとは聞いたことある
[0:45:04] froyt_: 今日はジェイクさんおきてくるかな？
[0:45:10] waka919: １人目倒した時に結構出血してたからおかしかったしね
[0:45:17] zenith_ar: そうだえ
[0:45:49] gundora23: 見てないのか
[0:45:53] zenith_ar: あれかw
[0:45:53] ichisanniiroku: ストメンタルだえ！
[0:45:57] waka919: ボイパ対決
[0:46:06] もずくみこみこ: ストメンタルおもろかったwww
[0:46:08] nonono090: チャルロスつよそう
[0:46:17] zlep__: チャルロス多分強い
[0:46:40] もずくみこみこ: チャル出てほしいなぁw
[0:46:44] gundora23: 中々難しそうだった
[0:47:10] gundora23: 起きてくる前までやってたよ
[0:47:18] Kaminagi_TKP: おもしろかったよ
[0:47:33] gundora23: 半田の持ち腐れ
[0:47:34] もずくみこみこ: 逃走中もおもろかったw
[0:47:38] らんぱ: 半田の出番だったな
[0:47:40] froyt_: ちゃんとミッションとかまあったしな
[0:47:54] 狐爪: 青春の音
[0:48:10] ichisanniiroku: 風情だえ
[0:48:21] 15hk_: 神社の音で草
[0:48:24] もずくみこみこ: チャルのは神社みたいだぇwww
[0:49:17] hachiko0000: すんくんも取られてない説ないんかな
[0:49:21] gundora23: いいヘリだなー
[0:49:38] 976mpdg: SMOrc GingerPower DansGame
[0:49:40] 976mpdg: DansGame
[0:50:03] gundora23: ローズか～
[0:50:16] もずくみこみこ: おおぉいいねぇ
[0:50:17] バブみわかりみありけり: 餡にやられたんか笑
[0:50:30] Kaminagi_TKP: そういえば
[0:50:40] ichisanniiroku: カジノ余計か～ｗ
[0:50:51] レヴィ99: ころもちゃん起きてるかな
[0:50:58] nonono090: 王妃ゲットしないのか
[0:51:03] gundora23: 破滅思考
[0:51:04] zenith_ar: 怖いえww
[0:51:11] もずくみこみこ: 皆同じこと言っとるw
[0:51:41] gundora23: 見てのお楽しみだえ
[0:52:05] gundora23: 久しぶりに見た気がする
[0:52:21] zlep__: そう
[0:52:21] nonono090: 天竜人の正装
[0:52:23] o5_oma: ころもちゃんいますように！
[0:52:24] ソルティー_: そうだね
[0:52:26] gfguubvbhk: カスタムカスタム
[0:52:27] しぇぱ3: ころもちゃん仕様
[0:52:27] zenith_ar: まじでかっこいいなこの車
[0:52:30] ichisanniiroku: あげころいるといいね！
[0:52:35] もずくみこみこ: カスタム楽しみだぇー
[0:52:37] hachiko0000: あげころちゃん会いたいえ
[0:52:37] nonono090: おおー
[0:52:38] tricluster: わきをのセッティングが分からないからまた今度になったんだっけ？
[0:52:39] fancy_hippo: はや
[0:52:39] shika_hr: 車増えたね！
[0:52:43] すぱ: エンジン乗っけてないよ
[0:52:50] Kaminagi_TKP: てつおｗｗ
[0:52:57] もずくみこみこ: てつおwww
[0:53:08] レヴィ99: ころもちゃんいないか
[0:53:36] ichisanniiroku: ひっぱられてるデスー
[0:53:38] もずくみこみこ: wwwwww
[0:53:43] gundora23: 足がごつい
[0:53:45] 海崩: だえ～
[0:53:46] konkon9011: ｗｗｗｗ
[0:53:48] nsgrn__: 足がｗ
[0:53:56] もずくみこみこ: うさぎちゃんも気に入ってそうwww
[0:54:00] にーとろる: 今誹謗中傷はタイムリーやな
[0:54:02] ichisanniiroku: ですえｗ
[0:54:08] hachiko0000: ウサロスwwww
[0:54:08] もずくみこみこ: ダメですえ～www
[0:54:09] zenith_ar: ですえww
[0:54:13] nonono090: 歩く誹謗中傷w
[0:54:23] zenith_ar: 足ゴッツいの笑うww
[0:54:34] もずくみこみこ: カオスwww
[0:55:01] nonono090: チャルもやるえw
[0:55:34] rcyijninjn: 塗装はどうするえー
[0:55:45] Kaminagi_TKP: 段階があるえ～
[0:56:05] ichisanniiroku: サスは好みだえ～
[0:56:22] もずくみこみこ: てつおは車に詳しいからラッキーだぇ
[0:57:01] gundora23: わきをは何レベルだ
[0:57:01] nonono090: 車いじるのたのしーよなー
[0:57:06] にーとろる: ころもちゃんにしてもらうって約束は？
[0:57:11] o5_oma: ころもぉ
[0:57:12] らんぱ: あげころに依頼するんじゃなかったのか
[0:57:14] rcyijninjn: 衣ちゃんにたのむのじゃなかったのかえー
[0:57:17] アサダおきろ: ころも塗装忘れてるえー
[0:57:18] kashu88: 忘れてるえ〜
[0:57:28] risuzu_00: 日の丸弁当だえ〜
[0:57:35] hachiko0000: 残念だえ
