[0:03:21] thanksgiving789: scมันจะหลุด มันบอกเมื่อกี้ไม่ด่าพ่อมึงก็บุญล่ะ จะด่าพี่แจ็ค มีคริปด้วย
[0:03:21] pee_1254: อายุวัณโณสุขัง
[0:03:21] hitz_98: เอาละใส่สูท
[0:03:21] piyphong567: ดีครับ
[0:03:22] louis0000055555: ดีครับ
[0:03:22] boat_1230: ดีครับ
[0:03:23] outsimee: ดีคาบบบบบบบบบบ
[0:03:23] kobe790: rebirthztvIQ200
[0:03:25] opwindhot: ดีครับ
[0:03:26] EyeScreamSIX: สวัสดีค้าบบบบ
[0:03:26] airinz_tx: มาไวมากกกก
[0:03:26] not2000n: ดีครับ
[0:03:27] jone_x1: ดีครับพี่เอส rebirthztvLove
[0:03:27] firstkyy: ดีคับ
[0:03:27] kuumaadd: GayPride GayPride
[0:03:28] toongxmy: ResidentSleeper
[0:03:28] thanakrit116: ดีครับลุง rebirthztvLucas rebirthztvPanpee
[0:03:28] icee_pkp_08: ดีครับ
[0:03:28] akahinu0556: Kappa
[0:03:29] frame007rp: อย่าแคร์35จนลืมCivic
[0:03:30] ball_gamerr: ยุคเเจ๊คยุคเเจ๊ค jackey9Yht jackey9Yht jackey9Yht
[0:03:30] fluk1910: สวัสดีครับลุง
[0:03:30] name_thakaskon: ดีคับ
[0:03:31] onigirijr7: ดีีครับ
[0:03:31] benz01042547: ดีครับ
[0:03:31] koi_momo: DKUB
[0:03:32] off_fy_285: มาก่อนเวลาด้วยหายากมากก
[0:03:32] w0rakan: ยุคแจ็คคคคค
[0:03:33] ool3iteoo: สวัสดีครับพี่ชาย
[0:03:33] khinglikeyme: khinglikeyme subscribed at Tier 1. They've subscribed for 4 months! สวัสดีครับลุง 4เดือนแล้ว
[0:03:34] thatchai07: แล้วลุงกูมา
[0:03:34] OvEl2DoSe: OvEl2DoSe subscribed at Tier 1. They've subscribed for 29 months! rebirthztvJak rebirthztvJak
[0:03:34] zaqxswcdeza050: ดีน้าบกลับาล้วม่หด้ดูนาน
[0:03:35] nan55555555: ดีคับบบบบ
[0:03:35] dinnnzz: d ครับ
[0:03:37] furukaboo: JW2Roar MegaphoneZ ดีครับลุงงงงงง
[0:03:37] nonnyskippy: nonnyskippy subscribed at Tier 1. They've subscribed for 11 months! 
[0:03:38] tytvtk: ดีครับ
[0:03:39] chaiananmalai: rebirthztvIQ200
[0:03:39] didtoocf2: ดีครับลุง
[0:03:40] thunderboit999999: ดีคับลุง
