[0:03:20] sabo_2001: jackey9Herr jackey9Herr jackey9Herr
[0:03:21] kan_kanokphon: มันใส่ไฟหมดอ่ะ555
[0:03:21] yuckcute0: ทำบุญ9วัดไม่พอ ต้องคูณ2
[0:03:22] kpaniniik: กิจกรรมทำบุญเมืองแฟม55555
[0:03:23] kong_kong121: 5555
[0:03:23] tontakan5899: หิวๆๆ
[0:03:24] mejxmyjah: 55555
[0:03:24] PORTRAITMAN: สวัสดีครับลุง
[0:03:25] bom_prasert: หู้ววววว
[0:03:26] gunscene: NotLikeThis NotLikeThis
[0:03:27] momo_sup: ทำบุญ100วัดเชื่อ
[0:03:27] friend_nimo: ลุงไปนอนก่อนนะพรุ่งนี้ไปเรียน ฝันดีค่ะเเชททุกคนเลย
[0:03:28] HunterZero034: กินยาแกปวดหัวยังลุง น่าจะปวดเยอะเลย
[0:03:30] Onsupness: ปีนี้เรารับจบเอง555555
[0:03:30] arfan2005: มีเรื่องไม่หยุดสงสารลุง
[0:03:30] phat_az13: ไม่ใช่ละพี่เอสตัวปลอม
[0:03:31] flim_1234: rebirthztvRich
[0:03:32] watcharawit04: ทีวี
[0:03:32] patipan1_: SeemsGood SeemsGood SeemsGood
[0:03:32] britishzthxqz: @bangvee420 ในโหนกระเต* เลยงับ
[0:03:33] purple_moon_iusupczz: @amndzz สวัสดีครับพี่โน คถ ครับ jackey9Mnheart
[0:03:34] pearrrr_r: ดีค้าบ
[0:03:35] 25503333: ไม่หยุดหรอนี่
[0:03:35] daiseeyyy: เห้ยลุงงงงง
[0:03:35] Diw_Trd: ลูกลุงอะดิ55555555
[0:03:36] lilinkubb: เหนื่อยแทนว่ะ55555
[0:03:36] ponpiphat_kim: เชฟโรแลต
[0:03:36] gooddy_b789: gooddy_b789 subscribed at Tier 1. They've subscribed for 13 months! ยาวๆครับลุง พักตอนหลับตา
[0:03:37] brian_5600: ว้าวว
[0:03:38] ronnakit_09x: ห้ะลุงมารึ
[0:03:38] slow_cooks: กินพารายังลุง
[0:03:39] thisboycxrtoxn: Tv
[0:03:40] pim33_ht: 5555
[0:03:41] chamezx27: SeemsGood
[0:03:41] fahhz: ขวนกันไปเล่นredmไหม ปวดหัว555
[0:03:41] wutthipat1999: pheromone199x subscribed at Tier 1. They've subscribed for 18 months! 
[0:03:42] pound22222222: ลุงมาตกใจ
[0:03:44] dome_zazaza: เขาเตรียมโจมตีประเทศเราอยู่แล้วไงลุง
